# Latitude, Longitude, Depth (km), Magnitude, NP1 Strike, NP1 Dip, NP1 rake, NP2 Strike, NP2 Dip, NP2 Rake
4.652533329999999978e+01,-1.213940000000000055e+02,2.136000000000000121e+00,5.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.355749999999999744e+01,-1.191195000000000022e+02,5.549000000000000377e+00,5.450000000000000178e+00,3.110000000000000000e+02,9.000000000000000000e+01,1.800000000000000000e+02,4.100000000000000000e+01,9.000000000000000000e+01,0.000000000000000000e+00
3.785900000000000176e+01,-1.181490000000000009e+02,4.165000000000000036e+00,5.169999999999999929e+00,nan,nan,nan,nan,nan,nan
3.574300000000000210e+01,-1.177560000000000002e+02,2.995000000000000107e+00,5.120000000000000107e+00,nan,nan,nan,nan,nan,nan
3.631983329999999910e+01,-1.205061666999999943e+02,1.136999999999999922e+01,5.400000000000000355e+00,1.540000000000000000e+02,4.100000000000000000e+01,1.370000000000000000e+02,2.790000000000000000e+02,6.300000000000000000e+01,5.700000000000000000e+01
3.623166669999999812e+01,-1.203119999999999976e+02,9.577999999999999403e+00,6.700000000000000178e+00,3.200000000000000000e+02,3.000000000000000000e+01,8.700000000000000000e+01,1.430000000000000000e+02,6.000000000000000000e+01,9.100000000000000000e+01
3.582999999999999829e+01,-1.213555000000000064e+02,9.637999999999999901e+00,5.200000000000000178e+00,8.500000000000000000e+01,5.500000000000000000e+01,6.000000000000000000e+01,3.100000000000000000e+02,4.500000000000000000e+01,1.260000000000000000e+02
4.405799999999999983e+01,-1.138569999999999993e+02,1.000000000000000000e+01,6.900000000000000355e+00,3.040000000000000000e+02,2.900000000000000000e+01,-1.030000000000000000e+02,1.380000000000000000e+02,6.200000000000000000e+01,-8.300000000000000000e+01
3.637666670000000124e+01,-1.218956667000000067e+02,6.634000000000000341e+00,5.099999999999999645e+00,6.500000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+01,3.340000000000000000e+02,8.000000000000000000e+01,1.750000000000000000e+02
3.730966670000000107e+01,-1.216788332999999938e+02,8.192999999999999616e+00,6.200000000000000178e+00,3.330000000000000000e+02,7.600000000000000000e+01,1.790000000000000000e+02,6.300000000000000000e+01,8.900000000000000000e+01,0.000000000000000000e+00
4.423199999999999932e+01,-1.059650000000000034e+02,1.800000000000000000e+01,5.000000000000000000e+00,nan,nan,nan,nan,nan,nan
4.237500000000000000e+01,-1.057199999999999989e+02,3.300000000000000000e+01,5.299999999999999822e+00,2.700000000000000000e+02,5.100000000000000000e+01,-1.350000000000000000e+02,1.480000000000000000e+02,5.600000000000000000e+01,-4.900000000000000000e+01
4.249399999999999977e+01,-1.088539999999999992e+02,5.000000000000000000e+00,5.000000000000000000e+00,nan,nan,nan,nan,nan,nan
3.745966669999999965e+01,-1.186071666999999934e+02,8.096000000000000085e+00,6.099999999999999645e+00,3.180000000000000000e+02,4.800000000000000000e+01,-1.690000000000000000e+02,2.210000000000000000e+02,8.200000000000000000e+01,-4.300000000000000000e+01
3.815650000000000119e+01,-1.188155000000000001e+02,1.009299999999999997e+01,5.200000000000000178e+00,2.500000000000000000e+01,5.000000000000000000e+01,-6.000000000000000000e+01,1.630000000000000000e+02,4.800000000000000000e+01,-1.210000000000000000e+02
